epoch,train_loss,train_acc,test_loss,test_acc
1,2.330176086182807,0.1062,2.3226758912205696,0.1
2,2.3045521556951436,0.097,2.3029741421341896,0.1
3,2.303271920817673,0.1028,2.3025284335017204,0.1
