epoch,train_loss,train_acc,test_loss,test_acc
1,0.8972141293050256,0.7181666666666666,0.26956816549134105,0.9228
2,0.20299887045550702,0.9408833333333333,0.14999552597855306,0.9554
3,0.13332785696966815,0.9601,0.11188707594421639,0.9667
4,0.10380198395868609,0.9681166666666666,0.08732586467021684,0.973
5,0.0845392104546065,0.9750833333333333,0.07405373183001948,0.9778
6,0.07306320588442007,0.9777666666666667,0.06333264680119575,0.9804
7,0.06473222904419626,0.9800833333333333,0.06333604602330026,0.9801
8,0.057804682769620024,0.9816833333333334,0.05344487992441578,0.9834
9,0.05270322943741738,0.9835,0.04917576075064398,0.9842
10,0.04752816930812881,0.9851166666666666,0.04460403653696642,0.9849
