epoch,train_loss
1,2.976837817360373
2,1.981677630368401
3,1.5440236119663013
4,1.202679777846617
5,0.9247098337201511
6,0.7073977747384239
7,0.5427523912752376
8,0.42019369409364815
9,0.32960759453913746
10,0.26259102321722927
11,0.21265358916100333
12,0.17500067546087153
13,0.1461964839083307
14,0.12381636833443362
15,0.10615536176106509
16,0.09201002482543974
17,0.08052285848294988
18,0.07107508401660358
19,0.06321428573745139
20,0.0566049050539732
21,0.05099454478305929
22,0.04619093151653514
23,0.042045673410243845
24,0.03844297107528238
25,0.03529135904767934
26,0.03251786409493755
27,0.030063794268404737
28,0.02788129520109471
29,0.025931433062343037
30,0.024181822588776842
31,0.022605711977709744
32,0.0211805679342326
33,0.01988752939573982
34,0.01871053551268928
35,0.017635964350227046
36,0.016652088393183315
37,0.01574884571463746
38,0.014917607200058067
39,0.014150811359286308
40,0.013441836899694274
41,0.012785066028728205
42,0.0121753564761842
43,0.011608190834522247
44,0.011079788783236462
45,0.010586561429697801
46,0.010125491891385001
47,0.009693786953849828
48,0.00928897621548351
49,0.008908816147595644
50,0.008551388595472364
51,0.008214825257549392
52,0.007897593039909707
53,0.007598112624905565
54,0.007315224200925406
55,0.0070476058651419244
56,0.006794126430416808
57,0.006553925067076788
58,0.0063260614543276675
59,0.006109621184056296
60,0.005903849008438342
61,0.005708161988021696
62,0.00552178848096553
63,0.005344226477010285
64,0.00517481384004521
65,0.005013193969395669
66,0.004858758341630592
67,0.004711170043960652
68,0.004570063799345756
69,0.004434947869466508
70,0.0043055887799710035
71,0.0041815847267999365
72,0.004062693990657435
73,0.003948591485181276
74,0.0038390979581676863
75,0.003733929102856885
76,0.003632800653576851
77,0.003535567392485545
78,0.00344203578253441
79,0.0033520254553021755
80,0.0032653351286974024
81,0.003181770519243882
82,0.0031012976199717205
83,0.0030236450599177797
84,0.0029487158308791764
85,0.0028763991671011727
86,0.002806618809700012
87,0.0027391727575484443
88,0.0026739778627148446
89,0.002610950860852266
90,0.002550022419788601
91,0.0024911161094410893
92,0.0024340435766669758
93,0.002378826416508459
94,0.0023253249990589477
95,0.002273511850302491
96,0.002223282336832627
97,0.0021745879545479138
98,0.0021274079267373856
99,0.0020816096392295815
100,0.0020371654399615876
