epoch,train_loss,train_acc
1,0.3006081759929657,0.9240033794939518
2,0.14017812848091127,0.9949661016464233
3,0.08457109034061432,0.9976337599754334
4,0.056646228581666944,0.9994924521446228
5,0.03859558805823326,0.9999892115592957
6,0.02875915288925171,0.999992868900299
7,0.02184422969818115,0.9999949693679809
8,0.01725536283105612,1.0
9,0.01384722325950861,1.0
10,0.011319389939308167,1.0
11,0.009502402134239673,1.0
12,0.00826463183388114,1.0
13,0.007018265482038259,1.0
14,0.006149052511900664,0.9999867248535156
15,0.005274321120232343,1.0
16,0.004801611751317978,1.0
17,0.004234891096130014,1.0
18,0.0037507821619510652,1.0
19,0.0034193203598260878,1.0
20,0.0030754715390503406,1.0
