epoch,train_loss,train_acc
1,4.681728541851044,0.012453719286435544
2,4.620902091264725,0.01160092807424594
3,4.61154305934906,0.010585511081706914
4,4.606049254536629,0.010978043912175649
5,4.603193446993828,0.011764705882352941
6,4.605262875556946,0.013080444735120994
7,4.604651227593422,0.010655473038424281
8,4.600964277982712,0.01071776550828191
9,4.599675968289375,0.01173124777817277
10,4.600240379571915,0.010996334555148283
11,4.592803210020065,0.012183075403358577
12,4.605604290962219,0.010941644562334218
13,4.59546884894371,0.010180623973727421
14,4.594201281666756,0.016795431642593214
15,4.598916158080101,0.012036108324974924
16,4.588008806109428,0.014690809702767338
17,4.5937256664037704,0.011680726800778715
18,4.581615447998047,0.013429413691451031
19,4.594213500618935,0.010090817356205853
20,4.588940784335136,0.01342512908777969
