epoch,train_loss,train_acc
1,2.687039367736332,0.18105555555555555
2,1.8939333851375277,0.39411111111111113
3,1.022604623484233,0.6806666666666666
4,0.5491545280766865,0.8378333333333333
5,0.36925191633285037,0.8943333333333333
6,0.2662798180466607,0.9215
7,0.21164526873164707,0.9366666666666666
8,0.18329227230851614,0.9463333333333334
9,0.15954110487585976,0.9523888888888888
10,0.14183748016754785,0.9573888888888888
11,0.12367050278754461,0.9627222222222223
12,0.1181898761599783,0.9638888888888889
13,0.11844659076323585,0.9639444444444445
14,0.10506608987611438,0.9687222222222223
15,0.10348970448923489,0.9673888888888889
16,0.09335540790879537,0.9707777777777777
17,0.08170633839945944,0.9745
18,0.08291631676847973,0.9734444444444444
19,0.07852510912787347,0.9758888888888889
20,0.08242929153262622,0.9757222222222223
