epoch,train_loss,train_acc,test_loss,test_acc
1,2.1681024062482614,0.1792,2.1536071375012398,0.236
2,1.977708511714694,0.2568,1.9030728936195374,0.294
3,1.8319498104385183,0.3078,1.8761746659874916,0.33
